lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
96	5904730961646	KONSTANCIN ZIELONE	LAGER	CZARNK”W		4,03	3,36					
97	5901549250763	KONSTANCIN ØYTNIE	LAGER	CZARNK”W		4,03	3,36					
98	5902528052347	KORMORAN 1 NA 100	FREE	KORMORAN		3,25	2,5841	17-11-28				
99	5902528442230	KORMORAN BEZGLUTENOWE	INNE	KORMORAN		3,83	3,06	17-11-28				
100	5902528473449	KORMORAN CIEMNY	LAGER	KORMORAN		3,57	2,8562	17-11-22				
101	5902528002229	KORMORAN COFFEE STOUT	STOUT	KORMORAN		5,20	4,14	17-11-21				
102	5902528101014	KORMORAN CZECH PILS	LAGER	KORMORAN		4,74	3,78	17-11-16				
103	5902528300004	KORMORAN IRISH BEER	STOUT	KORMORAN		3,70	2,97	17-10-18				
104	5902528462337	KORMORAN JASNY	LAGER	KORMORAN		3,57	2,8561	17-11-15				
105	5902528431258	KORMORAN JASNY NIEFILTROWANY	LAGER	KORMORAN		3,57	2,8561	17-11-02				
106	5902528102523	KORMORAN K£OS	INNE	KORMORAN		4,55	3,6269					
107	5902528573354	KORMORAN KRZEPKIE	LAGER	KORMORAN		3,70	2,9468	17-11-08				
108	5902528789724	KORMORAN PODPIWEK	BEZALKOHOLOWE	KORMORAN		2,73	2,16	18-02-14				
109	5902528420016	KORMORAN PORTER WARMI—SKI	PORTER	KORMORAN		5,85	4,68	18-05-05				
110	5902528999994	KORMORAN REWOLUCJE WARMI—SKIE	LAGER	KORMORAN		3,57	2,8561	17-11-22				
111	5902528112348	KORMORAN åLIWKA W PIWIE	LAGER	KORMORAN		4,03	3,2188	18-02-12				
112	5902528410000	KORMORAN WIåNIA W PIWIE	LAGER	KORMORAN		4,03	3,2188	 				
113	5902528221125	KORMORAN WITBIER	WHEAT	KORMORAN		4,68	3,74	17-07-10				
114	5906395997046	£A—CUT BECZKA DUKAT”W	LAGER	£A—CUT		5,09	3,82	17-08-28				
115	5906395997053	£A—CUT CH£OP PA—SZCZYèNIANY	WHEAT	£A—CUT		5,96	4,47	17-08-20				
116	5906395997077	£A—CUT PAN NA WLOåCIACH	WHEAT	£A—CUT		5,96	4,47	17-08-28				
117	5906395997015	£A—CUT POSPOLITE RUSZENIE	APA	£A—CUT		5,96	4,47	17-09-16				
118	5906395997190	£A—CUT STOLETI	INNE	£A—CUT		5,09	3,82	17-09-25				
119	5905669542524	MARYENSZTADT BELGIJKA NA DRUGIEJ	INNE	MARYENSZTADT	32	6,17	4,80	Klasyczny belgijski styl, Belgian dubbel. Piwo o barwie ciemnego bursztynu. W smaku s≥odowe, tostowe, delikatnie alkoholowe. Aromaty przyprawowe, owocowe, podkrÍcone dodatkiem herbaty lapsang.	7,5 g	18 g	Belgian Dubbel z dodatkiem herbaty lapsang	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\BELGIJSKA BLONDYNKA na drugiej 1600.jpg__resize__1200.jpg 
